country,date,GDP per Capita,R&D Expenditures
Albania,2008,9153.78820562203,0.15420999999999999
Albania,2007,8754.56951284933,0.08735
Algeria,2005,12322.4842607049,0.06606000000000001
Algeria,2004,11797.184848623601,0.16355
Algeria,2003,11459.8935602271,0.19630999999999998
Algeria,2002,10826.4876450259,0.36662
Algeria,2001,10382.1868362393,0.23012
Argentina,2014,18797.5479465897,0.5885199999999999
Argentina,2013,19482.190295091,0.62017
Argentina,2012,19224.8743997107,0.6359600000000001
Argentina,2011,19629.3518451916,0.56648
Argentina,2010,18712.063077343602,0.56126
Argentina,2009,17168.3789365496,0.58608
Argentina,2008,18436.8624668727,0.47041000000000005
Argentina,2007,17900.7063421587,0.45801000000000003
Argentina,2006,16592.264892395,0.45021000000000005
Argentina,2005,15518.6785097698,0.41897
Argentina,2004,14410.1505153775,0.40386
Argentina,2003,13361.4000434323,0.41003
Argentina,2002,12412.6059887095,0.38834
Argentina,2001,14085.5751760246,0.42413
Argentina,2000,14899.870045871101,0.43915
Armenia,2009,6532.96423059787,0.29109
Armenia,2008,7558.36164780203,0.22426999999999997
Armenia,2007,7010.62705596386,0.21101999999999999
Armenia,2006,6110.2261914070805,0.24023000000000003
Armenia,2005,5356.614423713279,0.25794
Armenia,2004,4673.98472583689,0.25631
Armenia,2003,4206.97511756609,0.32201
Armenia,2002,3669.4433904877706,0.25301
Armenia,2001,3224.14127527107,0.27889
Armenia,2000,2924.7473797168,0.19130999999999998
Armenia,2015,8195.93364956571,0.25069
Armenia,2014,7971.11792762162,0.24144000000000002
Armenia,2013,7727.92909156213,0.22195
Armenia,2012,7511.132482147379,0.23833000000000001
Armenia,2011,7022.10394338388,0.27
Armenia,2010,6702.848006279411,0.2414
Australia,2013,42867.167107896,2.20207
Australia,2011,41782.2849420662,2.24574
Australia,2010,41384.9235523277,2.3780799999999997
Australia,2008,41316.6000535698,2.39823
Australia,2006,39426.0204015126,2.18208
Australia,2004,38148.9191860349,1.85465
Australia,2002,36400.7274378688,1.75453
Australia,2000,35281.3953623126,1.57596
Austria,2015,44353.8752139122,3.0718099999999997
Austria,2014,44345.3096528388,3.06054
Austria,2013,44303.444636945,2.96325
Austria,2012,44551.61757411731,2.92992
Austria,2011,44452.732745799905,2.67843
Austria,2010,43336.1978527647,2.7343900000000003
Austria,2009,42618.528838760896,2.6153
Austria,2008,44417.78060376691,2.58495
Austria,2007,43878.134032345,2.4354
Austria,2006,42482.1005452241,2.37541
Austria,2005,41308.639098049796,2.38332
Austria,2004,40719.3500830979,2.1692299999999998
Austria,2003,39893.3519596778,2.18268
Austria,2002,39787.3057714365,2.0727
Austria,2001,39332.248855135294,1.9968599999999999
Austria,2000,38956.9807260522,1.8913900000000001
Azerbaijan,2015,16698.8636532538,0.22244
Azerbaijan,2014,16715.105521305803,0.20990999999999999
Azerbaijan,2013,16593.1887600482,0.21141
Azerbaijan,2012,15888.2179950886,0.21724000000000002
Azerbaijan,2011,15754.1523626148,0.21084
Azerbaijan,2010,15950.2574578784,0.21848
Azerbaijan,2009,15393.893290805501,0.24975999999999998
Azerbaijan,2008,14364.9942336723,0.16554000000000002
Azerbaijan,2007,13243.212855911299,0.17006
Azerbaijan,2006,10711.1822716451,0.17165
Azerbaijan,2005,8051.6748380624795,0.21994
Azerbaijan,2004,6435.4481294711795,0.29830999999999996
Azerbaijan,2003,5891.13710833521,0.32495999999999997
Azerbaijan,2002,5338.07631838764,0.30155
